"capturedate","id","lat","long","alt"
"2023-10-18T10:06:44","05eb9085a1e68e6b",43.5846612,-80.4795409,296.600006103516
"2023-10-18T10:18:07","d4acdf65a0f2ed2d",43.4722426,-80.5339053,342.699981689453
"2023-10-18T10:18:08","d4acdf65a0f2ed2d",43.4722426,-80.5339053,342.699981689453
"2023-10-18T10:18:10","d4acdf65a0f2ed2d",43.4722426,-80.5339053,342.699981689453
"2023-10-18T10:18:23","d4acdf65a0f2ed2d",43.4722426,-80.5339053,342.699981689453
"2023-10-18T10:18:24","d4acdf65a0f2ed2d",43.4722426,-80.5339053,342.699981689453
"2023-10-18T10:34:38","05eb9085a1e68e6b",43.5846612,-80.4795409,296.600006103516
"2023-10-18T10:35:39","38a7fe867c5e7119",43.4709192,-80.5435019,298.399993896484
"2023-10-18T11:09:39","05eb9085a1e68e6b",43.5846612,-80.4795409,296.600006103516
"2023-10-18T11:15:34","38a7fe867c5e7119",43.4715164,-80.5443658,0
"2023-10-18T11:25:34","38a7fe867c5e7119",43.4715164,-80.5443658,0
"2023-10-18T11:35:36","38a7fe867c5e7119",43.471247,-80.5447131,0
"2023-10-18T11:46:08","38a7fe867c5e7119",43.471247,-80.5447131,0
"2023-10-18T11:56:16","38a7fe867c5e7119",43.471247,-80.5447131,0
"2023-10-18T12:06:51","38a7fe867c5e7119",43.4707737,-80.5441566,305.5
"2023-10-18T12:09:52","05eb9085a1e68e6b",43.5846613,-80.4795408,296.600006103516
"2023-10-18T12:12:15","-8568265159107145976",43.4707756364096,-80.5443571514859,342.386566162109
"2023-10-18T12:12:20","d4acdf65a0f2ed2d",43.4707718,-80.5441471,305.5
"2023-10-18T12:12:28","-8568265159107145976",43.4706866753992,-80.544197904709,343.019054933451
"2023-10-18T12:12:30","-6152717953892893968",43.4707822565321,-80.5444940237701,340.725830078125
"2023-10-18T12:13:36","-8568265159107145976",43.4707948388357,-80.5442614455256,357.359339240938
"2023-10-18T12:13:44","d4acdf65a0f2ed2d",43.4707718,-80.5441471,305.5
"2023-10-18T12:14:13","-6152717953892893968",43.4707645660584,-80.544202676164,360.316960282624
"2023-10-18T12:14:17","bec861674e55c00a",43.4707714,-80.5441497,305.5
"2023-10-18T12:14:21","bec861674e55c00a",43.4707714,-80.5441497,305.5
"2023-10-18T12:14:33","-8568265159107145976",43.4708628919506,-80.5441813172197,353.61389089562
"2023-10-18T12:14:51","504526028846105551",43.4709055492165,-80.5445794517642,337.582244873047
"2023-10-18T12:15:00","ed93e3a1a0b5302c",43.4707704,-80.5441575,305.5
"2023-10-18T12:15:08","bec861674e55c00a",43.4707714,-80.5441497,305.5
"2023-10-18T12:15:13","ed93e3a1a0b5302c",43.4707704,-80.5441575,305.5
"2023-10-18T12:15:13","ed93e3a1a0b5302c",43.4707704,-80.5441575,305.5
"2023-10-18T12:15:28","bec861674e55c00a",43.4707714,-80.5441497,305.5
"2023-10-18T12:15:36","-8870730110002065067",43.4709319426154,-80.5441350583737,379.191059154458
"2023-10-18T12:15:48","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:15:47","8518227389474817982",43.4708217179461,-80.5443302596024,340.114877942436
"2023-10-18T12:15:57","6077895191872991954",43.4708716546755,-80.544071414411,346.290882351808
"2023-10-18T12:16:11","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:16:12","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:16:13","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:16:19","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:16:19","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:16:35","-8568265159107145976",43.4708065251681,-80.5444196022415,336.88919720086
"2023-10-18T12:21:02","38a7fe867c5e7119",43.4707737,-80.5441566,305.5
"2023-10-18T12:26:18","38a7fe867c5e7119",43.4707737,-80.5441566,305.5
"2023-10-18T12:26:32","38a7fe867c5e7119",43.4707737,-80.5441566,305.5
"2023-10-18T12:29:58","ed93e3a1a0b5302c",43.4707704,-80.5441575,305.5
"2023-10-18T12:29:58","ed93e3a1a0b5302c",43.4707704,-80.5441575,305.5
"2023-10-18T12:29:58","ed93e3a1a0b5302c",43.4707704,-80.5441575,305.5
"2023-10-18T12:38:34","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:38:34","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:38:34","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:38:34","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:38:34","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:38:34","bf09563aab47fcc9",43.4757603,-80.5415878,0
"2023-10-18T12:33:28","38a7fe867c5e7119",43.4707737,-80.5441566,305.5
"2023-10-18T12:39:30","38a7fe867c5e7119",43.4707737,-80.5441566,305.5
"2023-10-18T12:39:30","38a7fe867c5e7119",43.4707737,-80.5441566,305.5
"2023-10-18T12:41:10","ed93e3a1a0b5302c",43.4707704,-80.5441575,305.5
"2023-10-18T12:41:10","ed93e3a1a0b5302c",43.4707704,-80.5441575,305.5
"2023-10-18T12:41:10","ed93e3a1a0b5302c",43.4707704,-80.5441575,305.5
"2023-10-18T12:46:57","d4acdf65a0f2ed2d",43.4707718,-80.5441475,305.5
"2023-10-18T12:46:57","d4acdf65a0f2ed2d",43.4707718,-80.5441475,305.5
"2023-10-18T12:50:26","8518227389474817982",43.4707646037651,-80.544167219274,349.546262367629
