"","capturedate","id","lat","long","alt"
"1639",2023-11-07 07:54:35,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1640",2023-11-07 08:09:36,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1641",2023-11-07 08:24:37,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1642",2023-11-07 08:39:37,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1643",2023-11-07 08:54:38,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1644",2023-11-07 09:01:48,"-8870730110002065067",43.4630145676315,-80.543381669659,345.693791323341
"1645",2023-11-07 09:09:38,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1646",2023-11-07 09:19:27,"-8870730110002065067",43.4701907450168,-80.5395050115597,350.795649858192
"1647",2023-11-07 09:24:39,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1648",2023-11-07 09:34:28,"-8870730110002065067",43.4706318832129,-80.5437924139433,340.521118164062
"1649",2023-11-07 09:39:39,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1650",2023-11-07 09:46:08,"5773549600357641588",43.4704201704488,-80.5435437459095,340.39599609375
"1651",2023-11-07 09:48:22,"-654422490414060732",43.4704094788401,-80.5435616003543,340.252014160156
"1652",2023-11-07 09:50:22,"-8870730110002065067",43.4704001611237,-80.5433638330747,340.643280029297
"1653",2023-11-07 09:54:39,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1654",2023-11-07 10:09:40,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1655",2023-11-07 10:10:36,"-8870730110002065067",43.4704355205137,-80.5432930552505,340.208618164062
"1656",2023-11-07 10:24:40,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1657",2023-11-07 10:25:41,"-8870730110002065067",43.4652507661387,-80.5424299963136,338.694413742982
"1658",2023-11-07 10:39:41,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1659",2023-11-07 10:42:51,"-8870730110002065067",43.4630650374224,-80.5431998384464,351.687654761598
"1660",2023-11-07 10:54:42,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1661",2023-11-07 11:09:42,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1662",2023-11-07 11:15:03,"-8870730110002065067",43.4630315503415,-80.5431443411968,346.452544763684
"1663",2023-11-07 11:24:42,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1664",2023-11-07 11:39:42,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1665",2023-11-07 11:54:43,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1666",2023-11-07 12:09:44,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1667",2023-11-07 12:24:44,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1668",2023-11-07 12:39:45,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1669",2023-11-07 12:40:05,"-8870730110002065067",43.463037060988,-80.5431731682962,340.705639468506
"1670",2023-11-07 12:54:45,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1671",2023-11-07 13:09:45,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1672",2023-11-07 13:24:46,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1673",2023-11-07 13:34:19,"-8870730110002065067",43.4629429875293,-80.5432348557262,348.324482090771
"1674",2023-11-07 13:39:47,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1675",2023-11-07 13:54:48,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1676",2023-11-07 14:09:49,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1677",2023-11-07 14:24:11,"-8870730110002065067",43.4629562907246,-80.5432700827902,354.317674241029
"1678",2023-11-07 14:24:50,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1679",2023-11-07 14:39:51,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1680",2023-11-07 14:42:54,"-8870730110002065067",43.4629580400896,-80.5432988196478,359.08316070307
"1681",2023-11-07 14:54:51,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1682",2023-11-07 15:00:51,"-8870730110002065067",43.4629735995521,-80.5431397812886,351.268019041978
"1683",2023-11-07 15:09:51,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1684",2023-11-07 15:18:41,"-8870730110002065067",43.4630625411694,-80.5431947030151,349.147309658118
"1685",2023-11-07 15:24:51,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1686",2023-11-07 15:39:52,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1687",2023-11-07 15:54:53,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1688",2023-11-07 16:09:54,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1689",2023-11-07 16:24:55,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1690",2023-11-07 16:39:56,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1691",2023-11-07 16:54:56,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
"1692",2023-11-07 17:09:57,"-5361238190492722845",43.5846742526511,-80.4795298073775,331.859406763688
