ID,size,sizeNext,surv,fec
Q06,29.2,29.3,1,465.1
Q08,27.45,27.7,1,287.1
Q11,29.95,30.2,1,554.9
755,25.55,25.55,1,374.1
914,25.6,26.5,1,400.3
U09,32.7,32.8,1,606
Q14,33.3,33.5,1,648.1
Q17,29.4,30.1,1,708.5
G06,27.8,28.3,1,594.8
G07,31.5,31.6,1,775.4
G09,28.7,28.9,1,447.2
942,22.4,22.5,1,215.1
K03,27.6,27.65,1,461.8
K08,28.2,28.35,1,411.9
K09,31.2,31.2,1,692.2
704,32,32.15,1,790.4
724,29.8,30,1,548.5
727,32.2,32.6,1,600.4
722,26.6,27.3,1,576.8
726,30.9,31,1,643.5
728,30.3,30.8,1,617.4
733,29.6,29.7,1,440.9
735,27.7,27.9,1,365.9
734,30.9,31.2,1,496.9
725,29.85,29.9,1,685
746,27.6,28.4,1,401
748,32.4,32.4,1,624.3
749,29.5,29.6,1,450.4
752,28.8,29.2,1,278.6
756,26.15,27.2,1,462
762,26.6,27.1,1,442.3
765,25.1,26.85,1,0
946,29.7,29.95,1,539.8
773,26.9,NA,0,NA
774,31,31,1,599.2
776,30.3,30.75,1,697.7
781,25.1,26,1,0
779,27.8,28.15,1,296.3
778,24.9,25.4,1,309.5
A391,29.3,29.8,1,541.6
921,28.5,28.6,1,420.8
789,31.3,31.4,1,386.4
790,28.9,29.2,1,399.5
795,29.1,29.25,1,522.7
797,28.1,28.1,1,397.9
A390,31.5,31.7,1,483.2
903,30.4,30.6,1,387.7
906,32.6,33.1,1,559
911,29.8,30.1,1,668.4
923,26.7,26.8,1,375
941,26.3,27.2,1,314.2
949,25.3,25.4,1,366.5
952,27.2,27.8,1,545.2
953,28.3,28.8,1,312.5
896,32.1,32.2,1,0
113,25.6,25.8,1,0
119,26.3,26.5,1,398.1
772,28.05,28.3,1,365.5
133,27.35,27.7,1,333.5
139,23.4,23.9,1,0
134,26.2,26.8,1,0
927,30.7,30.7,1,534.8
T17,28.7,28.8,1,529.3
H10,28.2,29.1,1,0
N19,30.6,30.6,1,598.8
879,28.3,28.6,1,0
T03,29.75,29.8,1,479.7
Q15,27.55,27.7,1,449.2
T01,30.6,30.7,1,520.1
P19,27.4,27.6,1,379.2
T08,32,32,1,570.9
T02,27.7,28.3,1,562.8
N17,28.1,28.1,1,378.8
A317,33.2,33.4,1,602.8
T09,26.8,27,1,437.5
A359,28.2,28.2,1,497
784,22.65,29.5,1,511.4
924,26.2,26.3,1,369.2
A370,27.3,27.7,1,0
929,27.5,28.5,1,438.4
933,28.5,28.6,1,443.7
936,25,26,1,356.1
939,24.7,26,1,199.9
940,33.1,33.2,1,642.8
A334,26.1,26.6,1,218.7
A372,27.9,28.4,1,308.6
H01,23.1,NA,0,NA
A05,31.2,NA,0,NA
A06,26.7,NA,0,NA
